ID;ACTIVIDAD;OPERACION;TIPO_EQUIPO;MARCA;MODELO;ANTIG_c;ANO;ANTIG;VELOC_prom;DIESEL_lts;EURO_lts;TOTAL_lts;KM;CONSUMO;CORRECTIVO_usd;CORRECTIVO_cant;PREVENTIVO_usd;PREVENTIVO_cant;HS_encendido;HS_ralenti;DIAS_svs
CAM0141;ACARREO y LD;OP0024;Tractor;MERCEDES BENZ;AXOR 1933;3-VIEJO;2011;11;24.33;16028.39;5282.65;21311.04;61550.88;34.62;618.64;10;8616.9;49;1459.78;295.8;250
CAM0142;ACARREO y LD;OP0024;Tractor;MERCEDES BENZ;AXOR 1933;3-VIEJO;2011;11;29.08;12297.18;2798.31;15095.49;42162.52;35.8;2431.41;11;16306.05;40;1214.44;207.3;250
CAM0143;DISTRIBUCION;OP0002;Chasis;MERCEDES BENZ;ATRON 1720;3-VIEJO;2011;11;12.59;3346.95;156.13;3503.08;8741.12;40.08;9560.17;47;235.89;1;1137.23;706.12;273
CAM0144;ACARREO y LD;OP0024;Tractor;MERCEDES BENZ;AXOR 1933;3-VIEJO;2011;11;42.01;33588.64;11557.93;45146.57;128876.37;35.03;1941.85;9;17527.58;28;1703.88;234.16;189
CAM0145;DISTRIBUCION;OP0001;Balancin;MERCEDES BENZ;ATRON 1720;3-VIEJO;2011;11;13.34;3365.48;968.37;4333.85;11399.52;38.02;15.57;3;5018.46;28;619.38;206.15;178
CAM0146;DISTRIBUCION;OP0004;Chasis;MERCEDES BENZ;ATEGO 1418;3-VIEJO;2011;11;14.77;3861.59;0.9;3862.49;10205.6;37.85;1713.64;28;1358.94;4;1129.69;603.09;280
CAM0147;DISTRIBUCION;OP0026;Chasis;MERCEDES BENZ;ATRON 1720;3-VIEJO;2011;11;59.01;4113.35;1202.4;5315.75;14972.8;35.5;2385.56;9;613.27;2;1465.19;902.17;294
CAM0148;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATRON 1720;3-VIEJO;2011;11;16.21;3400.27;327.44;3727.71;12598.7;29.59;462.75;6;3609.29;26;519.34;102.48;237
CAM0149;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATRON 1720;3-VIEJO;2011;11;18.97;2522.98;636.38;3159.36;9019.91;35.03;11866.75;67;4985.69;32;487.84;121.16;229
CAM0150;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATRON 1720;3-VIEJO;2011;11;16.43;2742.92;619.88;3362.8;10071.94;33.39;277.7;4;9342.87;31;731.58;297.71;226
CAM0151;DISTRIBUCION;OP0029;Chasis;MERCEDES BENZ;ATRON 1720;3-VIEJO;2011;11;15.95;1119.05;722.86;1841.91;6980.68;26.39;567.42;3;349.1;6;741.62;312.45;286
CAM0152;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATRON 1720;3-VIEJO;2011;11;30.91;3390.97;980.12;4371.09;13432.23;32.54;1630.65;6;10410.29;35;643.98;195.98;240
CAM0153;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2012;10;18;2878.03;562.12;3440.15;10836.22;31.75;11418.08;6;12441.97;42;465.48;104.05;210
CAM0154;DISTRIBUCION;OP0002;Chasis;MERCEDES BENZ;710;2-MEDIO;2012;10;21.82;1642.7;95.01;1737.71;5757.92;30.18;11032.04;34;965.64;13;495.48;212.29;229
CAM0155;DISTRIBUCION;OP0015;Chasis;MERCEDES BENZ;710;2-MEDIO;2012;10;19.38;1368.1;954.24;2322.34;10442;22.24;3778.07;23;306.36;3;504.5;130.01;236
CAM0156;DISTRIBUCION;OP0007;Chasis;MERCEDES BENZ;710;2-MEDIO;2012;10;14.32;1488.52;1223.02;2711.54;9767.33;27.76;294.12;4;7022.43;67;1219.97;736.03;296
CAM0157;DISTRIBUCION;OP0002;Chasis;MERCEDES BENZ;710;2-MEDIO;2012;10;18.38;2654.29;214.99;2869.28;10988.23;26.11;8742.31;49;437.7;3;977.72;438.28;289
CAM0158;DISTRIBUCION;OP0007;Chasis;MERCEDES BENZ;710;2-MEDIO;2012;10;22.4;958.46;1532.24;2490.7;9236.06;26.97;622.7;4;5698.3;62;741.83;338.77;294
CAM0159;DISTRIBUCION;OP0004;Chasis;MERCEDES BENZ;ATEGO 1418;2-MEDIO;2012;10;13.57;2788.54;1857.64;4646.18;15716.87;29.56;10727.63;35;137.72;2;1201.17;529.84;269
